fold,stage,epoch,train_loss,val_loss
0,1,1,0.19886,0.41731
0,1,2,0.160578,0.411454
0,1,3,0.144317,0.418223
0,1,4,0.136083,0.366162
0,1,5,0.130464,0.365323
0,1,6,0.125962,0.365303
0,1,7,0.119742,0.340069
0,1,8,0.115735,0.32393
0,1,9,0.112001,0.347505
0,1,10,0.109683,0.359755
0,1,11,0.105487,0.342201
0,1,12,0.102557,0.335644
0,1,13,0.100738,0.429784
0,2,1,0.24268,0.323236
0,2,2,0.238065,0.319619
0,2,3,0.236604,0.328727
0,2,4,0.230624,0.39226
0,2,5,0.229899,0.314283
0,2,6,0.225455,0.35464
0,2,7,0.226951,0.382198
0,2,8,0.231383,0.308821
0,2,9,0.230951,0.427134
0,2,10,0.224154,0.337048
0,2,11,0.226241,0.428105
0,2,12,0.226133,0.311357
0,2,13,0.222819,0.303672
0,2,14,0.22472,0.331762
0,2,15,0.222547,0.416645
0,2,16,0.222913,0.319359
0,2,17,0.221637,0.312093
0,2,18,0.222554,0.346501
